ID,Age,Salary,ExperienceYears,Department,EducationLevel,Gender,City,Purchased,Rating
56,36.0,59926.0,17,Operations,Masters,Female,Chennai,0,9
41,34.0,38304.0,16,Finance,Bachelors,Male,Kolkata,1,5
20,22.0,35230.0,4,Engineering,Masters,Male,Mumbai,0,9
32,41.0,54157.0,22,Sales,Bachelors,Male,,0,4
99,30.0,44176.0,11,Sales,Bachelors,Female,Hyderabad,1,5
57,25.0,50156.0,6,Engineering,Bachelors,Male,Chennai,1,9
70,,31822.0,8,Marketing,HighSchool,Male,Delhi,0,6
105,,44337.0,9,Engineering,Bachelors,Male,Hyderabad,1,7
82,32.0,56729.0,14,Engineering,Bachelors,Male,Bengaluru,1,3
27,23.0,35157.0,5,Engineering,Bachelors,Male,,0,7
95,28.0,46217.0,10,Engineering,Bachelors,Male,Mumbai,1,6
28,32.0,34155.0,13,Engineering,Bachelors,Female,Hyderabad,0,7
65,35.0,47318.0,17,Engineering,Masters,Female,Delhi,0,7
5,29.0,57042.0,10,Marketing,Bachelors,Female,Bengaluru,1,6
97,32.0,40726.0,14,Operations,Masters,Female,Bengaluru,1,4
114,45.0,42181.0,27,Engineering,Bachelors,Female,Mumbai,1,7
37,31.0,72389.0,13,Marketing,HighSchool,Female,Kolkata,0,7
81,29.0,54293.0,11,Operations,Masters,Male,Chennai,0,9
126,31.0,56851.0,11,HR,Bachelors,Male,Mumbai,0,7
85,25.0,33468.0,7,Operations,Masters,Male,Chennai,0,9
19,25.0,59762.0,6,Marketing,HighSchool,Female,Mumbai,0,6
11,27.0,31392.0,9,Engineering,Masters,Female,Mumbai,0,8
119,37.0,42059.0,17,Engineering,Bachelors,Male,Pune,1,9
12,27.0,50823.0,9,Engineering,Bachelors,Female,Chennai,1,5
106,32.0,63067.0,13,HR,Bachelors,Female,Kolkata,0,8
46,26.0,54953.0,7,HR,Bachelors,Other,Kolkata,0,6
71,32.0,44642.0,12,Marketing,HighSchool,Female,,1,9
79,31.0,50699.0,13,Engineering,Bachelors,Male,Mumbai,0,2
48,36.0,,18,Operations,Bachelors,Female,Chennai,0,5
1,33.0,59492.0,14,,Masters,Female,Hyderabad,0,9
13,31.0,37252.0,12,Engineering,,Male,Hyderabad,0,8
43,29.0,,10,,PhD,Male,Pune,0,8
127,120.0,2000000.0,90,Engineering,PhD,Male,Mumbai,1,10
25,27.0,53119.0,7,Sales,,Female,Mumbai,0,7
68,36.0,49126.0,16,Engineering,Masters,Female,Pune,0,6
112,30.0,52598.0,12,HR,Bachelors,Female,Pune,0,8
90,33.0,96233.0,15,Sales,Masters,Other,Delhi,1,8
16,27.0,68599.0,7,Sales,HighSchool,Male,Chennai,0,6
78,28.0,51845.0,8,Engineering,Bachelors,Male,Mumbai,0,6
23,30.0,30710.0,12,Engineering,Masters,Female,Bengaluru,0,6
45,21.0,61561.0,3,Engineering,Masters,Female,Kolkata,0,5
66,38.0,58568.0,20,HR,Masters,Female,Hyderabad,0,5
96,21.0,59108.0,2,Marketing,Bachelors,Female,Hyderabad,0,6
31,26.0,53006.0,6,Marketing,Bachelors,Female,Kolkata,0,6
63,23.0,37149.0,3,HR,Bachelors,Female,Bengaluru,0,3
122,27.0,62646.0,7,Sales,Bachelors,Female,Chennai,1,9
10,33.0,43958.0,15,HR,Bachelors,Male,Kolkata,0,5
34,24.0,52787.0,6,Operations,Masters,Male,Mumbai,0,3
67,30.0,55679.0,12,,Bachelors,Male,Hyderabad,0,6
26,31.0,59382.0,11,Sales,Masters,Male,Hyderabad,1,7
116,,57607.0,13,Sales,Bachelors,Male,Hyderabad,0,8
29,26.0,56263.0,8,HR,Bachelors,Female,Delhi,1,7
98,32.0,47158.0,13,Operations,Bachelors,Female,Kolkata,0,8
92,36.0,63627.0,17,Engineering,Bachelors,Male,Chennai,1,6
54,34.0,54094.0,14,Operations,PhD,Female,Bengaluru,0,8
6,29.0,76285.0,11,Engineering,Bachelors,Male,Delhi,0,2
69,32.0,39838.0,13,,Masters,Female,Pune,1,9
74,39.0,35051.0,21,HR,Bachelors,Female,Delhi,1,9
40,31.0,57879.0,11,Operations,Masters,Female,Chennai,0,6
50,19.0,40955.0,1,Engineering,Masters,Male,Kolkata,0,8
36,23.0,41428.0,5,Sales,Bachelors,Male,Hyderabad,1,6
17,24.0,40601.0,5,Sales,Bachelors,Male,Kolkata,0,6
123,34.0,38304.0,16,Finance,Bachelors,Male,Kolkata,1,5
35,35.0,53517.0,16,Operations,HighSchool,Male,Hyderabad,0,7
86,27.0,38746.0,9,Operations,Bachelors,Female,Chennai,1,8
8,35.0,43204.0,15,Finance,Bachelors,Male,Pune,1,7
44,,40152.0,9,Marketing,HighSchool,Male,Kolkata,1,9
77,31.0,39394.0,11,Sales,Bachelors,Female,Delhi,1,8
113,30.0,50547.0,12,Engineering,Masters,Male,Mumbai,0,7
109,32.0,41416.0,14,HR,HighSchool,Female,Hyderabad,0,6
9,27.0,,7,Marketing,PhD,Female,Pune,1,6
14,19.0,55683.0,0,Engineering,Bachelors,Female,Pune,0,4
94,28.0,57817.0,8,Finance,Bachelors,Female,Delhi,0,6
4,39.0,33178.0,21,Engineering,Bachelors,Male,Pune,1,6
18,32.0,46135.0,13,Operations,HighSchool,Male,Hyderabad,0,9
39,22.0,35704.0,4,Finance,Bachelors,Male,Pune,1,3
73,30.0,52569.0,10,Finance,Bachelors,Male,Chennai,1,9
101,22.0,77776.0,3,Sales,HighSchool,Male,Hyderabad,1,7
7,39.0,38114.0,20,HR,,Male,Chennai,0,5
84,27.0,62646.0,7,Sales,Bachelors,Female,Chennai,1,9
111,18.0,41236.0,0,Sales,PhD,Female,Hyderabad,1,5
120,35.0,60229.0,17,Engineering,Bachelors,Female,Kolkata,1,6
55,36.0,53320.0,17,HR,Bachelors,Female,Bengaluru,1,8
51,32.0,39326.0,13,HR,Masters,Female,Delhi,0,5
118,23.0,52237.0,5,Operations,HighSchool,Male,Bengaluru,1,7
47,27.0,59865.0,8,Engineering,Bachelors,Female,Pune,0,6
124,32.0,56165.0,13,Finance,Bachelors,Male,Kolkata,1,8
62,29.0,39714.0,10,Finance,Masters,Male,Chennai,0,6
125,41.0,54157.0,22,Sales,Bachelors,Male,,0,4
80,18.0,36284.0,0,Marketing,Bachelors,Male,Pune,0,9
102,27.0,27593.0,8,Engineering,Bachelors,Male,Bengaluru,1,3
42,31.0,59445.0,12,Marketing,Masters,Female,Chennai,0,3
59,32.0,46824.0,13,Finance,,Male,Bengaluru,1,7
91,31.0,56851.0,11,HR,Bachelors,Male,Mumbai,0,7
49,32.0,47055.0,12,Sales,Masters,Female,,1,8
89,27.0,56181.0,8,Sales,Bachelors,Female,Pune,1,6
110,30.0,58155.0,10,Engineering,Bachelors,Female,Chennai,1,5
58,28.0,67442.0,10,Engineering,HighSchool,Female,Delhi,1,8
76,35.0,54624.0,17,Engineering,Bachelors,Male,Hyderabad,1,3
33,30.0,41840.0,10,Operations,Masters,Female,Delhi,0,7
121,19.0,55683.0,0,Engineering,Bachelors,Female,Pune,0,4
60,36.0,82642.0,16,Engineering,Bachelors,Female,Bengaluru,1,6
64,23.0,55790.0,4,Engineering,Bachelors,Female,Hyderabad,0,6
108,31.0,37067.0,12,Engineering,Masters,Male,,0,8
38,18.0,,0,Engineering,Bachelors,Female,Pune,0,5
30,28.0,53564.0,8,Operations,Bachelors,Male,Delhi,0,6
115,29.0,75727.0,11,HR,Masters,Male,Pune,0,7
2,29.0,39087.0,9,Sales,HighSchool,Female,Hyderabad,1,7
53,26.0,,8,Marketing,Bachelors,Female,Pune,1,9
22,29.0,65686.0,11,Finance,Masters,Female,,0,6
3,34.0,66834.0,15,HR,Masters,Female,Bengaluru,0,5
24,21.0,52216.0,3,,Bachelors,Female,Pune,0,9
104,25.0,30647.0,7,Finance,Bachelors,Female,Mumbai,0,6
100,,50982.0,10,Engineering,Bachelors,Female,Mumbai,0,6
88,32.0,56165.0,13,Finance,Bachelors,Male,Kolkata,1,8
117,30.0,25698.0,12,Sales,Masters,Female,Pune,1,6
75,14.0,52078.0,0,,,Female,Kolkata,1,8
87,35.0,56180.0,15,HR,PhD,Female,Kolkata,1,2
83,39.0,62997.0,20,Engineering,Masters,Female,Chennai,1,7
128,-5.0,-5000.0,0,Sales,HighSchool,Female,Delhi,0,1
21,39.0,52730.0,21,Operations,Bachelors,Female,Kolkata,1,7
61,27.0,57508.0,8,Engineering,Bachelors,Female,Kolkata,0,7
72,39.0,,20,Marketing,Masters,Male,Bengaluru,1,2
107,41.0,50771.0,23,HR,HighSchool,Female,Kolkata,0,4
15,20.0,38967.0,2,Engineering,HighSchool,Male,Bengaluru,1,10
93,26.0,61448.0,6,Operations,HighSchool,Female,Pune,0,8
52,,40210.0,9,Engineering,,Female,Bengaluru,0,7
103,28.0,58235.0,8,Sales,Masters,Female,Pune,0,3
